"Term_ID","Term_Description","clusterProfiler_pvalue","clusterProfiler_sig_count","gProfiler2_pvalue","gProfiler2_sig_count","topGO_pvalue","topGO_sig_count","methods_included","methods_significant","mean_p_value"
"GO:0050930","induction of positive chemotaxis",NA,NA,NA,NA,0.04335,10,1,1,0.04335
"GO:0006164","purine nucleotide biosynthetic process",NA,NA,NA,NA,0.04356,93,1,1,0.04356
"GO:1903350","response to dopamine",NA,NA,NA,NA,0.04416,26,1,1,0.04416
"GO:0031269","pseudopodium assembly",NA,NA,NA,NA,0.04418,9,1,1,0.04418
"GO:0048672","positive regulation of collateral sprout...",NA,NA,NA,NA,0.04418,9,1,1,0.04418
"GO:1901387","positive regulation of voltage-gated cal...",NA,NA,NA,NA,0.04418,9,1,1,0.04418
"GO:2000674","regulation of type B pancreatic cell apo...",NA,NA,NA,NA,0.04418,9,1,1,0.04418
"GO:0002713","negative regulation of B cell mediated i...",NA,NA,NA,NA,0.04427,8,1,1,0.04427
"GO:0002890","negative regulation of immunoglobulin me...",NA,NA,NA,NA,0.04427,8,1,1,0.04427
"GO:0021892","cerebral cortex GABAergic interneuron di...",NA,NA,NA,NA,0.04427,8,1,1,0.04427
"GO:0045759","negative regulation of action potential",NA,NA,NA,NA,0.04427,8,1,1,0.04427
"GO:0061303","cornea development in camera-type eye",NA,NA,NA,NA,0.04427,8,1,1,0.04427
"GO:1902667","regulation of axon guidance",NA,NA,NA,NA,0.04427,8,1,1,0.04427
